Post ID,Account ID,Account username,Account name,Description,Duration (sec),Publish time,Permalink,Post type,Data comment,Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
1.81064E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"ده جزء التاني من قصة قلعة قايتباي 😍😍
اكتبولنا في التعليقات👇👇👇 يا تري أليكس حياخدكم فين الريل اللي جاي ؟؟ 😉😉😉
#اسكندرية #tours #tourisme #askingalexandria #alexandria #alexa",142,4/17/2026 9:02,https://www.instagram.com/reel/DXPR6jDCIkg/,IG reel,,Lifetime,332,213,33,7,0,18,0
1.80919E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"🤍
القلعة بعيون اليكس 👀
#alexandria #ExploreAlexandria #travelphotography #travel #مصر",0,4/18/2026 4:13,https://www.instagram.com/p/DXRVuMICFYq/,IG carousel,,Lifetime,315,129,33,17,0,22,0
1.7907E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"بما ان تصوير اليكس عجبكم انا لقيت الصور دي كمان 😳

اخليه يصور فين تاني ؟؟ ولا اسحب منه التليفون 🤭

القلعة بعيون اليكس بارت ٢ 💙
#alexwalks #travel #egypt #alexandria #exploreegypt",0,4/19/2026 9:40,https://www.instagram.com/p/DXUf4o7iADU/,IG carousel,,Lifetime,333,135,37,20,4,23,1
1.79531E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,#اسكندرية #egypt  #alexandria  #alexwalks  #tourism,0,4/20/2026 10:51,https://www.instagram.com/reel/DXXMHX1CFy0/,IG reel,,Lifetime,623,422,35,21,4,15,1
1.83875E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"اليكس بيزاكر عشان بيجهزلكم مسابقة 
سؤال من تاريخ القلعة اتقال في الريل 😉

استنوا المسابقة الساعة 8
و لو لسة مشفتش الريلز الحق اتفرج عليها قبل معاد المسابقة 
part 1:
https://www.facebook.com/share/v/1Hk3xnJoWT/

 part2 :

https://www.facebook.com/share/v/1Djj77RAVq/",0,4/21/2026 9:58,https://www.instagram.com/p/DXZrkMyHD5u/,IG image,,Lifetime,130,55,12,1,0,1,0
1.80506E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"#tourists #tourist #قلعة_قايتباي
#اسكندرية
#تاريخ_مصر
#اماكن_اثرية
#سياحة_مصر
#اعرف_بلدك
#جولات_اسكندرية
#LexWalks
#معلومات_تاريخية
#ExploreEgypt
#EgyptHistory
#Alexandria",0,4/21/2026 11:01,https://www.instagram.com/p/DXZyz3JiAvU/,IG image,,Lifetime,144,65,11,2,0,1,0
1.80906E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"الفايزين في مسابقة قلعة قايتباي ❤️ 
استنوا الفيديو اللي جاي شوفو اليكس قضى الويك اند فين 😳

 @ahmed_sobhy206 @esraa_ro2a95 @salma_adel_eladrosey @aya_alaa16 @nohasattar1",17,4/23/2026 10:07,https://www.instagram.com/reel/DXe1xILiAxw/,IG reel,,Lifetime,187,118,16,1,1,0,0
1.78956E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"تعالى نقضي سوا يوم في بحري مع أليكس زي ما طلبتوا مننا 
شكر خاص لصديقنا ندى حسنى  على مشاركتها لينا في تصوير الفيديو ❤😍❤😍

قولولنا في الكومنتات بتقضوا الويك اند ازاي 👇👇
يا ترى تحبوا أليكس يروح فين المرة اللي جاية؟؟
 #Alexandria #AlexWalks #touring #tourism #egyptian",0,4/23/2026 14:17,https://www.instagram.com/reel/DXfSM8OCAd-/,IG reel,,Lifetime,332,223,29,12,0,7,0
1.80013E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,عيد تأسيس مدينة الأسكندرية على يد الاسكندر الأكبر.  ٢٤ ابريل ٢٠٢٦.🩵. #alexwalks #alexandria #sea #مصر #egypt,0,4/24/2026 12:43,https://www.instagram.com/p/DXhs32eCEOl/,IG carousel,,Lifetime,630,361,23,6,0,12,0
1.81342E+16,1.78414E+16,alex__walks,Alex walks- حكاية شط,"⁨	لن تجد بلاداً ولا بحوراً أخرى - فسوف تلاحقك المدينة - ستهيم في نفس الشوارع"". قسطنطين كفافيس.  عيد تأسيس مدينة الإسكندرية 🏛️
حكاية مدينة… عمرها ما بتخلص.

#الإسكندرية #عيد_تأسيس_الإسكندرية #alexwalks  #Alexandria #Egypt⁩",65,4/26/2026 9:36,https://www.instagram.com/reel/DXmgId4CL1Y/,IG reel,,Lifetime,321,218,30,38,1,7,0
